0.59,0.094,0,0,0,-0.27,-0.27,-0.094,0,0,0,0.14,-0.23,-0.094,0,0,0,-0.11,-0.086,0.094,0,0,0,-0.018
0.094,0.59,0,0,0,0.27,0.094,-0.086,0,0,0,0.018,-0.094,-0.23,0,0,0,0.11,-0.094,-0.27,0,0,0,-0.14
0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.27,0.27,0,0,0,0.38,0.14,-0.018,0,0,0.00E+00,7.50E-17,0.11,-0.11,0,0,0,0.12,0.018,-0.14,0,0,0.00E+00,7.10E-17
-0.27,0.094,0,0,0,0.14,0.59,-0.094,0,0,0,-0.27,-0.086,-0.094,0,0,0,-0.018,-0.23,0.094,0,0,0,-0.11
-0.094,-0.086,0,0,0,-0.018,-0.094,0.59,0,0,0,-0.27,0.094,-0.27,0,0,0,0.14,0.094,-0.23,0,0,0,-0.11
0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
0.14,0.018,0,0,0.00E+00,7.60E-17,-0.27,-0.27,0,0,0,0.38,0.018,0.14,0,0,0.00E+00,6.90E-17,0.11,0.11,0,0,0,0.12
-0.23,-0.094,0,0,0,0.11,-0.086,0.094,0,0,0,0.018,0.59,0.094,0,0,0,0.27,-0.27,-0.094,0,0,0,-0.14
-0.094,-0.23,0,0,0,-0.11,-0.094,-0.27,0,0,0,0.14,0.094,0.59,0,0,0,-0.27,0.094,-0.086,0,0,0,-0.018
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0
-0.11,0.11,0,0,0,0.12,-0.018,0.14,0,0,0.00E+00,7.00E-17,0.27,-0.27,0,0,0,0.38,-0.14,0.018,0,0,0.00E+00,7.30E-17
-0.086,-0.094,0,0,0,0.018,-0.23,0.094,0,0,0,0.11,-0.27,0.094,0,0,0,-0.14,0.59,-0.094,0,0,0,0.27
0.094,-0.27,0,0,0,-0.14,0.094,-0.23,0,0,0,0.11,-0.094,-0.086,0,0,0,0.018,-0.094,0.59,0,0,0,0.27
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0
-0.018,-0.14,0,0,0.00E+00,7.10E-17,-0.11,-0.11,0,0,0,0.12,-0.14,-0.018,0,0,0.00E+00,7.20E-17,0.27,0.27,0,0,0,0.38
